name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
21st Century Systems,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,21st Century Systems,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
"377 Omega, Inc.",,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,"377 Omega, Inc.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
4 Elements Integrated Design LTD,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,603,,4 Elements Integrated Design LTD,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,603,unknown,unknown,unknown,unknown,2026-04-17,API integrations,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
512th Engineering Detachment,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,512th Engineering Detachment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,AEC / infrastructure,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
AC4S Inc.,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,AC4S Inc.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Adapx Inc.,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Adapx Inc.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
"ADG Military Survey (GSGS), Integrated HQ of MoD (Army)",,,unknown,geospatial company,geospatial company,geospatial company,yes,unknown,unknown,unknown,unknown,unknown,,,,"ADG Military Survey (GSGS), Integrated HQ of MoD (Army)",unknown,unknown,unknown,unknown,geospatial company,geospatial company,surveying,defense / intelligence,unknown,government,surveyor,unknown,unknown,unknown,unknown,unknown,unknown,geospatial company,unknown,unknown,direct,Direct website-led GTM into government users for geospatial company.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,API integrations,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Adinkra Inc.,,,unknown,commercial drone / event exhibitor,Commercial UAV Expo 2023 exhibitor.,"Commercial drone, surveying, mapping, lidar, or related services",yes,unknown,yes,yes,unknown,https://www.expouav.com/2023-exhibitor-list/,,,,Adinkra Inc.,unknown,unknown,unknown,unknown,"Commercial drone, surveying, mapping, lidar, or related services",drone mapping platform,drone mapping; surveying,unknown,SaaS; services,enterprise,GIS analyst; surveyor; drone operator,unknown,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,unknown,direct,Direct website-led GTM into enterprise users for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; LiDAR / point clouds,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Aditya Geoinfo Solutions,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Aditya Geoinfo Solutions,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Advanced Technical Intelligence Center,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Advanced Technical Intelligence Center,unknown,unknown,unknown,unknown,unknown,unknown,unknown,defense / intelligence,unknown,government,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into government users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
