name,category,organization,year,task,sensor,resolution,size,classes,coverage,license,project,github,huggingface,kaggle,earthengine,nasa_earthdata,paper,zenodo,other_links,verified_status
SSL4EO-S12,1. Pre-Training & Foundation Model Scale Datasets,TU Munich (Zhu Lab),2023,Self-supervised pre-training,"Sentinel-1 (SAR), Sentinel-2 (MS)",10 m,3 million patches (1M locations × 4 seasons × 2 sensors),Unlabeled,Global,CC-BY-4.0,,https://github.com/zhu-xlab/SSL4EO-S12,https://huggingface.co/datasets/wangyi111/SSL4EO-S12,,,,https://arxiv.org/abs/2211.07044,,,metadata-only
SSL4EO-L,1. Pre-Training & Foundation Model Scale Datasets,TU Munich,2023,Self-supervised pre-training,Landsat 4/5/7/8/9,30 m,5M patches (1M locations × 5 seasons),Unlabeled,Global,CC0-1.0,,https://github.com/zhu-xlab/SSL4EO-S12,,,,,https://arxiv.org/abs/2306.09424,,,metadata-only
SatlasPretrain,1. Pre-Training & Foundation Model Scale Datasets,Allen Institute for AI,2023,Multi-task pre-training (17 tasks),"NAIP (0.6 m), Sentinel-2 (10 m), Landsat (30 m)",0.6–30 m,302 million image chips,"17 task categories (building, road, tree, crop, etc.)","USA (NAIP), Global (Sentinel-2/Landsat)","Multi (CC-BY-4.0, ODbL, public domain)",https://satlas-pretrain.allen.ai,https://github.com/allenai/satlas,,,,,https://arxiv.org/abs/2211.15660,,,metadata-only
"Major TOM Core (S2L2A, S2L1C, S1RTC, DEM)",1. Pre-Training & Foundation Model Scale Datasets,ESA Φ-lab,2024,"Pre-training, representation learning","Sentinel-2 L2A/L1C, Sentinel-1 RTC, Copernicus DEM",10 m,~4.49 million patches per modality (global grid),Unlabeled,Global,CC-BY-SA-4.0,,https://github.com/ESA-PhiLab/Major-TOM,https://huggingface.co/Major-TOM,,,,https://arxiv.org/abs/2402.12095,,,metadata-only
Copernicus-Pretrain,1. Pre-Training & Foundation Model Scale Datasets,TU Munich,2024,Multi-modal pre-training,"Sentinel-1, Sentinel-2, Sentinel-3, Sentinel-5P, DEM",10–1000 m,18.7 million patches,Unlabeled,Global,CC-BY-4.0,,,https://huggingface.co/datasets/wangyi111/Copernicus-Pretrain,,,,https://arxiv.org/abs/2407.01485,,,metadata-only
BigEarthNet,1. Pre-Training & Foundation Model Scale Datasets,TU Berlin,2019 (v2: 2023),"Multi-label scene classification, pre-training",Sentinel-2 (v1); Sentinel-1 + Sentinel-2 (v2),10–60 m,"590,326 patches (v1); 549,488 patch pairs (v2)",19 CORINE land cover classes (43 raw),10 European countries,CDLA-Permissive-1.0,http://bigearth.net,https://github.com/kai-tub/bigearthnet-pipeline,,,,,https://arxiv.org/abs/1902.06148,,,metadata-only
MMEarth,1. Pre-Training & Foundation Model Scale Datasets,TU Munich / DLR,2024,Multi-modal pre-training,"Sentinel-1/2, ASTER DEM, ERA5, ESA WorldCover",10 m,1.2 million patches (100k–1M depending on modality),Unlabeled,Global,CC-BY-4.0,,https://github.com/vishalned/MMEarth-data,https://huggingface.co/datasets/torchgeo/MMEarth,,,,https://arxiv.org/abs/2405.02771,,,metadata-only
SeasoNet,1. Pre-Training & Foundation Model Scale Datasets,DLR / TU Munich,2023,"Seasonal multi-label classification, pre-training",Sentinel-2,10 m,"1,759,830 patches (across 4 seasons)",33 CORINE classes,Germany,CC-BY-4.0,,,https://huggingface.co/datasets/wangyi111/SeasoNet,,,,https://arxiv.org/abs/2205.02218,https://zenodo.org/record/5850307,,metadata-only
SkyScript,1. Pre-Training & Foundation Model Scale Datasets,Stanford University,2024,Vision-language pre-training (image captioning),"NAIP, Planet, Sentinel-2, Landsat",0.1–30 m,5.2 million image-text pairs,Free-text descriptions,Global,MIT,,https://github.com/wangzhecheng/SkyScript,,,,,https://arxiv.org/abs/2312.12856,,,metadata-only
Million-AID,1. Pre-Training & Foundation Model Scale Datasets,Wuhan University,2021,"Scene classification, pre-training",Google Earth,0.5–153 m,"1,000,000 images",51 scene categories (hierarchical),Global,Unspecified (research use),https://captain-whu.github.io/DiRS,,,,,,https://arxiv.org/abs/2006.12485,,,metadata-only
ChatEarthNet,1. Pre-Training & Foundation Model Scale Datasets,TU Munich,2024,Vision-language pre-training,Sentinel-2,10 m,"163,488 image-text pairs (derived from BigEarthNet)",Free-text descriptions,Europe,CC-BY-4.0,,https://github.com/zhu-xlab/ChatEarthNet,,,,,https://arxiv.org/abs/2402.11325,,,metadata-only
EuroSAT,2. Scene Classification,DFKI,2019,Scene classification,Sentinel-2 (13-band MS + RGB variant),10 m,"27,000 patches (64×64 px)",10 land-use categories,34 European countries,MIT,,https://github.com/phelber/EuroSAT,https://huggingface.co/datasets/blanchon/EuroSAT_RGB,,,,https://arxiv.org/abs/1709.00029,,,metadata-only
RESISC45,2. Scene Classification,Northwestern Polytechnical University (NWPU),2017,Scene classification,Google Earth,0.2–30 m (varied),"31,500 images (700 per class, 256×256 px)",45 scene categories,Global,CC-BY-NC-4.0,,,,,,,https://arxiv.org/abs/1703.00121,,https://www.tensorflow.org/datasets/catalog/resisc45,metadata-only
PatternNet,2. Scene Classification,UC Merced / UCSB,2018,Scene classification,"Google Earth, USGS",0.06–5 m,"30,400 images (800 per class, 256×256 px)",38 categories,USA,CC-BY-4.0,https://sites.google.com/view/zhouwx/dataset,,,,,,https://arxiv.org/abs/1706.04768,,,metadata-only
So2Sat LCZ42,2. Scene Classification,TU Munich / DLR,2020,Local climate zone (urban) classification,"Sentinel-1 (SAR), Sentinel-2 (MS)",10 m,"400,673 patches (32×32 px per sensor)",17 local climate zones,42 global cities,CC-BY-4.0,,,https://huggingface.co/datasets/torchgeo/So2Sat,,,,https://arxiv.org/abs/1912.12171,https://mediatum.ub.tum.de/1454690,,metadata-only
Functional Map of the World (fMoW),2. Scene Classification,IARPA,2017,Scene classification (temporal),"WorldView-2/3 (0.3 m), other commercial",0.3–1 m,1 million image chips,63 functional land-use categories,Global,Community use license (free for research),,https://github.com/fMoW/dataset,,,,,https://arxiv.org/abs/1711.07846,,,metadata-only
AID (Aerial Image Dataset),2. Scene Classification,Wuhan University,2017,Scene classification,Google Earth,0.5–8 m,"10,000 images",30 aerial scene categories,Global,Research use only,https://captain-whu.github.io/AID/,,,,,,https://arxiv.org/abs/1608.05167,,,metadata-only
UC Merced Land Use,2. Scene Classification,UC Merced,2010,Scene classification (benchmark),USGS National Map (aerial),0.3 m (1 ft),"2,100 images (100 per class, 256×256 px)",21 land-use categories,USA,Public domain,http://weegee.vision.ucmerced.edu/datasets/landuse.html,,,,,,https://dl.acm.org/doi/10.1145/1869790.1869829,,,metadata-only
SEN12MS,3. Semantic Segmentation & Land Cover,TU Munich,2019,"Land cover segmentation, multi-modal fusion","Sentinel-1 (SAR), Sentinel-2 (MS), MODIS",10 m (upsampled),"180,748 triplets (256×256 px)",17 IGBP / 33 LCCS land cover classes,All continents (all seasons),CC-BY-4.0,,https://github.com/zhu-xlab/SEN12MS,,,,,https://arxiv.org/abs/1906.07789,https://mediatum.ub.tum.de/1474000,,metadata-only
FLAIR #1 & #2 (IGN),3. Semantic Segmentation & Land Cover,IGN (Institut national de l'information géographique),2022 / 2023,Land cover semantic segmentation (FLAIR-2: aerial + Sentinel-2 fusion),"VHR aerial (0.2 m), Sentinel-2 (10 m)",0.2 m aerial; 10 m Sentinel-2,"77,412 aerial patches (512×512 px) + time-series Sentinel-2",19 land cover categories,France (metropolitan),Open License Etalab 2.0,https://ignf.github.io/FLAIR/,https://github.com/IGNF/FLAIR-1,,,,,https://arxiv.org/abs/2310.13336,,,metadata-only
OpenEarthMap,3. Semantic Segmentation & Land Cover,Kyushu University / RIKEN,2022,Global land cover segmentation,Google Earth / VHR aerial,0.25–0.5 m,"5,000 images, 97,203 annotated patches (1024×1024 px)",9 land cover categories,97 regions across 44 countries (global),CC-BY-NC-SA-4.0,https://open-earth-map.org,https://github.com/bao18/open_earth_map,,,,,https://arxiv.org/abs/2210.10732,,,metadata-only
Five Billion Pixels,3. Semantic Segmentation & Land Cover,Wuhan University,2022,Large-scale land cover segmentation,Gaofen-2 (Chinese VHR satellite),4 m,~5 billion pixel labels (150 × 150 km² scenes),24 fine-grained categories,China,Research use only,https://x-ytong.github.io/project/Five-Billion-Pixels.html,,,,,,https://arxiv.org/abs/2209.01424,,,metadata-only
ISPRS Potsdam & Vaihingen,3. Semantic Segmentation & Land Cover,ISPRS,2012 / 2014,Urban land cover segmentation (benchmark standard),VHR aerial (RGB + NIR + DSM),"5 cm (Potsdam), 9 cm (Vaihingen)","38 patches (Potsdam), 33 patches (Vaihingen)","6 urban categories (building, tree, low veg., surface, car, background)","Potsdam & Vaihingen, Germany",Free for non-commercial research,,,,,,,,,,metadata-only
DeepGlobe Land Cover,3. Semantic Segmentation & Land Cover,CVPR 2018 Challenge,2018,Land cover segmentation,DigitalGlobe Vivid+ satellite,0.5 m,"1,146 satellite images (2448×2448 px)",7 land cover types,"Thailand, Indonesia, India",CC-BY-NC-SA-4.0,http://deepglobe.org,,,,,,https://arxiv.org/abs/1805.06561,,,metadata-only
LandCoverNet,3. Semantic Segmentation & Land Cover,Radiant Earth Foundation,2020,Annual land cover classification,Sentinel-2,10 m,"1,980 chips (256×256 px), Africa subset (20 % of global)",7 land cover categories,Sub-Saharan Africa (global planned),CC-BY-4.0,,,,,,,https://arxiv.org/abs/2012.03111,,,metadata-only
LoveDA,3. Semantic Segmentation & Land Cover,Wuhan University,2021,Domain-adaptive semantic segmentation (urban vs. rural),Google Earth,0.3 m,"5,987 images",7 land cover categories,"3 cities in China (Nanjing, Changchun, Wuhan)",CC-BY-NC-SA-4.0,,https://github.com/Junjue-Wang/LoveDA,,,,,https://arxiv.org/abs/2110.08733,,,metadata-only
WorldStrat,3. Semantic Segmentation & Land Cover,University of Oxford,2022,"Super-resolution training, land use classification","SPOT (1.5 m HR), Sentinel-2 (10 m LR)",1.5 m / 10 m paired,"10,000 km² coverage (~2,500 paired locations)",5 UNHCR humanitarian land-use categories,Stratified global sample (including underrepresented regions),CC-BY-4.0,,https://github.com/worldstrat/worldstrat,https://huggingface.co/datasets/worldstrat/worldstrat,,,,https://arxiv.org/abs/2207.06418,,,metadata-only
DOTA (Dataset for Object deTection in Aerial images) v1 / v2,4. Object Detection,Wuhan University,2018 / 2021,Oriented (rotated) object detection,"Google Earth, Gaofen-2, JL-1",0.3–1 m,"2,806 images / 15 classes (v1); 11,268 images / 18 classes (v2); 1.7M instance annotations (v2)","15 (v1) / 18 (v2): aircraft, ship, vehicle, baseball diamond, bridge, etc.",Global,Non-commercial research,https://captain-whu.github.io/DOTA/,,,,,,https://arxiv.org/abs/1711.10398,,,metadata-only
xView (xView1),4. Object Detection,DIUx (Defense Innovation Unit),2018,Object detection,WorldView-3,0.3 m,"1,413 images (> 1 million object instances)","60 categories (vehicles, aircraft, maritime, infrastructure)",Global,CC-BY-NC-SA-4.0,http://xviewdataset.org,,,,,,https://arxiv.org/abs/1802.07856,,,metadata-only
FAIR1M,4. Object Detection,Gaofen Challenge / CASIA,2021,Fine-grained oriented object detection,Gaofen satellites + Google Earth,0.3–0.8 m,"15,000+ images; 43,289 instances",37 fine-grained categories (5 super-categories),Global,CC-BY-NC-SA-3.0,http://gaofen-challenge.com,,https://huggingface.co/datasets/blanchon/FAIR1M,,,,https://arxiv.org/abs/2103.05569,,,metadata-only
DIOR (Detection in Optical Remote sensing),4. Object Detection,Northwestern Polytechnical University,2020,Object detection,Google Earth,0.5–30 m,"23,463 images; 192,518 instances","20 categories (airport, baseball field, bridge, etc.)",Global,CC-BY-NC-4.0,https://gcheng-nwpu.github.io/#Datasets,,,,,,https://arxiv.org/abs/1909.00133,,,metadata-only
iSAID,4. Object Detection,IIAI & Wuhan University,2019,Instance segmentation + object detection,"Google Earth, JL-1 (high-res aerial)",0.3–1 m,"2,806 images; 655,451 instances","15 categories (aircraft, ship, vehicle, building, etc.)",Global,CC-BY-NC-4.0 (academic use),https://captain-whu.github.io/iSAID/,,,,,,https://arxiv.org/abs/1905.12886,,,metadata-only
RarePlanes,4. Object Detection,CosmiQ Works / AI.Reverie,2020,Aircraft detection & attribute recognition,WorldView-3 (real) + synthetic,0.3 m,"253 real WV-3 images (14,700 planes); 50,000 synthetic images (630,000 planes)",Aircraft with 10 attribute labels,"122 locations, 22 countries",Apache-2.0,,,,,,,https://arxiv.org/abs/2006.02963,,,metadata-only
xView2 Building Damage Assessment (xBD),4. Object Detection,DIUx,2019,Building damage assessment (change detection),WorldView-3,0.3–0.8 m,4.7 million building polygons; 850 km² coverage,4 damage levels (no damage → destroyed),"20 disaster zones across 7 disaster types (wildfire, flood, earthquake, etc.)",CC-BY-NC-SA-4.0,https://xview2.org,,,,,,https://arxiv.org/abs/1911.09296,,,metadata-only
xView3 Dark Vessel Detection,4. Object Detection,DIUx / Global Fishing Watch,2021,Maritime vessel detection (IUU fishing),Sentinel-1 (SAR),10–40 m,"1,000 Sentinel-1 scenes (> 750k vessel annotations)",Vessels (fishing vs. non-fishing) + offshore infrastructure,Global ocean,CC-BY-NC-SA-4.0,https://iuu.xview.us,,,,,,https://arxiv.org/abs/2206.00897,,,metadata-only
LEVIR-CD+,5. Change Detection,Wuhan University,2020,Building change detection,Google Earth (very high-res),0.5 m,"985 image pairs (1024×1024 px), bi-temporal",2 (changed / unchanged building),"20 Texas cities, USA",Unspecified (research use),,https://github.com/justchenhao/LEVIR,,,,,https://arxiv.org/abs/2006.11205,,,metadata-only
OSCD (Onera Satellite Change Detection),5. Change Detection,Onera / CentraleSupelec,2018,Urban change detection,Sentinel-2 (13 bands),10 m,24 city pairs (bi-temporal),2 (change / no-change),24 global cities,CC-BY-NC-SA-4.0,https://rcdaudt.github.io/oscd/,,,,,,https://arxiv.org/abs/1810.08452,,,metadata-only
S2Looking,5. Change Detection,CAS / Aerospace Information Research Institute,2021,Building change detection (side-looking satellite),SuperView-1 (very high-res),0.5–0.8 m,"5,000 image pairs",2 (new building / demolished building),Global (diverse regions),CC-BY-NC-SA-4.0,,https://github.com/AnonymousForACMMM/Dataset,,,,,https://arxiv.org/abs/2107.09244,,,metadata-only
BRIGHT (Building damage Recognition with multi-sensor Imagery after Geophysical and climate-induced disTasters),5. Change Detection,TU Munich / DLR,2025,Disaster building change detection,"MAXAR, NAIP, Capella (SAR), Umbra (SAR)",0.1–1 m,"3,239 bi-temporal image pairs",4 damage levels,12 global disaster events,CC-BY-4.0,,https://github.com/ChenHongruixuan/BRIGHT,,,,,https://arxiv.org/abs/2501.06019,,,metadata-only
Dynamic EarthNet,5. Change Detection,Planet / DLR / TU Munich,2021,Spatio-temporal semantic segmentation + change detection,PlanetScope,3 m,"75 AOIs × weekly images over 2 years (approx. 7,500 scenes)",7 land cover categories,Global (stratified sample),CC-BY-4.0,https://www.earthnet.tech/docs/ds-earthnet2021/,,,,,,https://arxiv.org/abs/2111.04986,,,metadata-only
SpaceNet Series (1–8),6. Instance Segmentation & Building Footprints,CosmiQ Works / AWS / Maxar,2016–2022,"Building footprint extraction, road detection, off-nadir, flood mapping","WorldView-2/3 (0.3–0.5 m), Planet Dove (4 m), Capella SAR",0.3–4 m,"27,000–685,000 building footprints per challenge","Building footprints, road networks","Global (Las Vegas, Paris, Shanghai, Khartoum, Moscow, Rotterdam, global, Louisiana)",CC-BY-SA-4.0,https://spacenet.ai,https://github.com/SpaceNetChallenge,,,,,,,,metadata-only
