name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
01Aero,https://01aero.cn/,Singapore,unknown,drone / UAV ecosystem member,Member listed on Dronecode Foundation's members page.,"Drone hardware, autonomy, software, or UAV ecosystem services",unknown,unknown,yes,unknown,unknown,https://dronecode.org/our-members/ | https://01aero.com | https://01aero.com/about_us/ | https://01aero.cn/,,,,01Aero,Singapore,unknown,2015,active,"Drone hardware, autonomy, software, or UAV ecosystem services",drone mapping platform,route optimization; drone mapping; reporting; collaboration,energy / utilities; environmental services; retail / commerce,API; SaaS; mobile; services,enterprise,developer; drone operator,unknown,unknown,services,unknown,unknown,Services and project fees,"collaborative, open-source, real-time drone mapping platform",DroneDeploy; Pix4D; FlyPix AI,Dronecode,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery,open source; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
10 NORD,https://10nord.fr/,France,unknown,earth observation analytics,"NORD 10 Nord, commited experts",Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://www.linkedin.com/company/10-nord/ | https://10nord.fr/,https://www.linkedin.com/company/10-nord/,137,,10 NORD,France,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,map creation; data visualization; satellite imagery analysis,AEC / infrastructure; energy / utilities; environmental services; defense / intelligence; mining,API; SaaS; services,government; SMB; enterprise,developer; remote sensing analyst; data analyst,Global,unknown,services,unknown,unknown,Services and project fees,collaborative earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into government; SMB; enterprise accounts for earth observation analytics.,unknown,137,unknown,unknown,unknown,unknown,2026-04-17,satellite imagery; API integrations; weather / climate data,AI / machine learning; API-first,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
100KTREEs Project,https://100ktrees.eu/,,unknown,earth observation analytics,"KTREEs Project 100KTREEs Project – Decision toolbox for cities to improve air quality, biodiversity, human wellbeing and reduce climate risks by planting more trees",Earth observation and imagery analytics platform,yes,unknown,unknown,unknown,yes,https://www.linkedin.com/company/100ktrees-project/ | https://www.100ktrees.eu/ | https://www.100ktrees.eu/about-100ktrees/ | https://www.100ktrees.eu/news/ | https://100ktrees.eu/,https://www.linkedin.com/company/100ktrees-project/,368,,100KTREEs Project,unknown,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,route optimization; satellite imagery analysis; reporting; collaboration,government; energy / utilities; environmental services,API; SaaS; mobile; services,government; SMB; enterprise,GIS analyst; planner; developer,Europe,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, open-source earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,368,unknown,unknown,unknown,News & Events – 100KTREEs Project,2026-04-17,satellite imagery; weather / climate data,open source,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
10S SAS,https://10s.com.co/,Colombia,Cali,GIS / Esri partner,"10s SAS is a partner and supplier of Esri Colombia, specializing in providing IT services and building solutions that support our clients business processes and...","Application Development, Data Model & Database Design, System Architecture and Design, System Integration",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/10s-sas-a2T5x000008VZaDEAW | https://10s.com.co/,,,,10S SAS,Colombia,Cali,unknown,active,"Application Development, Data Model & Database Design, System Architecture and Design, System Integration",GIS / mapping platform,unknown,AEC / infrastructure,SaaS; mobile; services,enterprise,GIS analyst,unknown,unknown,services,unknown,unknown,Services and project fees,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
12d Synergy,https://12dsynergy.com/,Australia,Sydney,data integration / FME partner,12d Synergy partners with Safe Software to support integrated project delivery with FME.,Technology Alliance,yes,unknown,unknown,unknown,unknown,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/12d-synergy/ | https://www.12dsynergy.com/ | https://www.12dsynergy.com/about-us/ | https://www.12dsynergy.com/pricing/ | https://www.12dsynergy.com/case-studies/ | https://www.12dsynergy.com/iso-19650-guide/ | https://12dsynergy.com/,,,,12d Synergy,Australia,Sydney,unknown,active,Technology Alliance,field operations GIS software,data visualization; field operations; project tracking; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services; on-prem,consumer; government; SMB; enterprise,planner; developer; project manager; surveyor; data analyst,Global,unknown,subscription,yes,Free,SaaS subscriptions,collaborative field operations GIS software,Matidor; Atlas.co; Esri,Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,location / POI data; API integrations,cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,unknown
12d Synergy LLC,https://12dsynergy.com/,United States,Wilmington,"Geo Week exhibitor / Architecture, Engineering & Construction (AEC), Infrastructure & Transportation, Surveying & Mapping, Data and Project Management, Design/Engineering Software & Services, Land Surveying, Software, Technology Integration",12d Synergy is the leading ISO compliant Information Management offering data management and project collaboration software tailored for the engineering and construction industry. Our solution...,"Architecture, Engineering & Construction (AEC), Infrastructure & Transportation, Surveying & Mapping, Data and Project Management, Design/Engineering Software & Services, Land Surveying, Software, Technology Integration",yes,unknown,unknown,unknown,unknown,https://geoweek2026.smallworldlabs.com/exhibitors | https://geoweek2026.smallworldlabs.com/co/12d-synergy-llc | https://geoweek2025.smallworldlabs.com/exhibitors | https://geoweek2025.smallworldlabs.com/co/12d-synergy-llc | https://www.12dsynergy.com/ | https://www.12dsynergy.com/about-us/ | https://www.12dsynergy.com/pricing/ | https://www.12dsynergy.com/case-studies/ | https://www.12dsynergy.com/iso-19650-guide/ | https://12dsynergy.com/,,,,12d Synergy LLC,United States,Wilmington,unknown,active,GIS-native field operations software,field operations GIS software,data visualization; field operations; project tracking; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services; on-prem,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; surveyor,Global,unknown,subscription,yes,Free,SaaS subscriptions,collaborative field operations GIS software,Matidor; Atlas.co; Esri,unknown,direct,Direct website-led GTM into consumer; government; SMB; enterprise users for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geoweek2026.smallworldlabs.com/exhibitors,2026-04-17,location / POI data; API integrations,cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,unknown
12d UK Limited,https://12d.co.uk/,United Kingdom,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://12d.co/ | https://12d.co/case-studies/ | https://12d.co/blog/ | https://12d.co.uk/,,,,12d UK Limited,United Kingdom,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",surveying services,data visualization; drone mapping; surveying; reporting; collaboration,AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,SaaS; services,enterprise,GIS analyst; planner; surveyor; data analyst,United States; United Kingdom; Australia,unknown,services,unknown,unknown,Services and project fees,"collaborative, real-time surveying services",Esri partners; surveying firms; drone mapping vendors,unknown,direct,Direct website-led GTM into enterprise users for surveying services.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,LiDAR / point clouds; API integrations,real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
"1898 & Co. | Part of Burns & McDonnell Engineering Company, Inc",https://1898andco.burnsmcd.com/,United States,Dallas,data integration / FME partner,"Burns & McDonnell uses FME to streamline engineering, infrastructure, and environmental data processes.",System Integrator,yes,unknown,unknown,unknown,unknown,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/burns-mcdonnell/ | https://1898andco.burnsmcd.com/about-us | https://1898andco.burnsmcd.com/trending/smarter-capital-planning | https://1898andco.burnsmcd.com/case-study/pittsburgh-water-streamlines-operations-and-prepares-for-the-future-with-trimble-unity | https://1898blog.burnsmcd.com/ | https://1898andco.burnsmcd.com/,,,,"1898 & Co. | Part of Burns & McDonnell Engineering Company, Inc",United States,Dallas,unknown,acquired,System Integrator,field operations GIS software,map creation; data visualization; field operations; project tracking; route optimization,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; field operations manager,Global,unknown,license,unknown,unknown,Software licensing,"collaborative, AI-native, real-time field operations GIS software",Matidor; Atlas.co; Esri,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,1898 & Co. Blog,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
1898 Co. part of Burns McDonnell,https://1898andco.com/,United States,Kansas City,GIS / Esri partner,"1898 & Co. part of Burns & McDonnell and its more than 125 years of cross-industry innovation, brings both a broad and deep understanding of...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/1898-co-part-of-burn-a2T70000000TNMQEA4 | https://1898andco.burnsmcd.com/what-we-do/enterprise-technology/geospatial?utm_campaign=E98_Brand&utm_source=E98_ESRIInfrastructureManagementGISConference_Vanity_GIS_Svc1898-SpatialApplicationsConsulting_20155&utm_medium=Virtual%20Booth | https://1898andco.burnsmcd.com/about-us | https://1898andco.burnsmcd.com/trending/smarter-capital-planning | https://1898andco.burnsmcd.com/case-study/pittsburgh-water-streamlines-operations-and-prepares-for-the-future-with-trimble-unity | https://1898blog.burnsmcd.com/ | https://1898andco.com/,,,,1898 Co. part of Burns McDonnell,United States,Kansas City,unknown,acquired,GIS-native field operations software,field operations GIS software,map creation; data visualization; field operations; project tracking; route optimization,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; mobile; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; field operations manager,Global,unknown,license,unknown,unknown,Software licensing,"collaborative, AI-native, real-time field operations GIS software",Matidor; Atlas.co; Esri,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for field operations GIS software.,unknown,unknown,unknown,unknown,unknown,1898 & Co. Blog,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; cloud platform; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
1904Labs,https://1904labs.com/,,unknown,geospatial intelligence / USGIF member,Current organizational member listed by USGIF.,"Geospatial intelligence, remote sensing, geospatial software, or related services",yes,yes,unknown,unknown,yes,https://usgif.org/current-organizational-members/ | https://www.turnberrysolutions.com/turnberry-labs/ | https://www.turnberrysolutions.com/about/ | https://www.turnberrysolutions.com/case-study/allowing-app-access-by-migrating-from-high-to-low-side/ | https://www.turnberrysolutions.com/insights/news/ | https://1904labs.com/,,,,1904Labs,unknown,unknown,unknown,acquired,"Geospatial intelligence, remote sensing, geospatial software, or related services",consulting / integration services,data visualization; field operations; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,API; SaaS; services,consumer; government; SMB; enterprise,planner; developer; remote sensing analyst; data analyst,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native, open-source consulting / integration services",Esri partners; GIS consultancies; system integrators,Partner ecosystem,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,"Articles: IT, Business Consulting, etc. | Turnberry",2026-04-17,API integrations,AI / machine learning; API-first; open source; cloud platform; real-time collaboration,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
